                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     17,                 1.1514,                0.64594,                  1.315,                0.94074,                0.87816,                 0.9476,                0.59048,                 1.3013,                0.68222,                 1.4902,              0.0014607,              0.0014607,              0.0014607
                     18,                 1.1525,                0.60993,                 1.3136,                0.91959,                0.90815,                0.94828,                 0.6082,                 1.2855,                0.62658,                 1.4785,               0.001447,               0.001447,               0.001447
                     19,                 1.1755,                0.62612,                 1.3351,                 0.9074,                0.85573,                  0.922,                0.58945,                 1.2825,                0.69417,                 1.4586,              0.0014332,              0.0014332,              0.0014332
                     20,                 1.1502,                0.60312,                 1.3033,                0.91394,                0.90878,                0.94239,                0.60396,                 1.2657,                0.66962,                 1.4843,              0.0014195,              0.0014195,              0.0014195
                     21,                 1.1435,                0.61021,                 1.3208,                0.92644,                0.89163,                0.93469,                0.60717,                 1.2484,                0.65069,                 1.4596,              0.0014057,              0.0014057,              0.0014057
                     22,                 1.1447,                0.59769,                 1.2987,                0.96083,                0.88287,                0.94911,                0.62365,                 1.2661,                0.63828,                 1.4788,              0.0013919,              0.0013919,              0.0013919
                     23,                 1.1235,                0.59755,                 1.3073,                0.91961,                0.89296,                0.94434,                0.60626,                 1.3247,                0.63942,                 1.5235,              0.0013782,              0.0013782,              0.0013782
                     24,                  1.133,                0.58436,                 1.2924,                0.92068,                0.90489,                 0.9442,                0.60579,                 1.2659,                0.65087,                 1.4654,              0.0013644,              0.0013644,              0.0013644
                     25,                 1.1242,                0.58328,                 1.2893,                0.94431,                0.88988,                0.94405,                0.61084,                  1.266,                0.60792,                 1.4858,              0.0013507,              0.0013507,              0.0013507
                     26,                 1.1004,                0.55953,                  1.269,                0.88699,                0.91328,                 0.9491,                0.61532,                 1.2391,                 0.6061,                 1.4652,              0.0013369,              0.0013369,              0.0013369
                     27,                 1.1005,                0.56456,                  1.274,                0.89106,                0.88994,                0.92997,                0.59976,                 1.2307,                0.66412,                 1.4392,              0.0013232,              0.0013232,              0.0013232
                     28,                  1.109,                0.53849,                 1.2913,                0.95135,                0.90474,                 0.9474,                  0.614,                 1.2695,                0.59409,                  1.475,              0.0013094,              0.0013094,              0.0013094
                     29,                 1.0885,                0.55055,                 1.2747,                0.92843,                0.91876,                0.95054,                0.61244,                 1.2772,                0.66111,                 1.4697,              0.0012957,              0.0012957,              0.0012957
                     30,                  1.086,                0.56038,                 1.2671,                 0.9506,                0.86271,                0.93404,                0.61236,                 1.2245,                0.61612,                 1.4598,              0.0012819,              0.0012819,              0.0012819
                     31,                 1.0641,                0.53585,                 1.2454,                0.94114,                0.88421,                0.95051,                0.61978,                 1.2541,                0.63532,                 1.4686,              0.0012682,              0.0012682,              0.0012682
                     32,                 1.0727,                0.54555,                 1.2612,                0.95098,                0.90082,                0.93694,                0.60411,                 1.2305,                0.60286,                  1.435,              0.0012544,              0.0012544,              0.0012544
                     33,                 1.0765,                0.54033,                 1.2713,                0.92755,                0.92845,                0.95531,                0.61047,                 1.2274,                0.57554,                 1.4416,              0.0012407,              0.0012407,              0.0012407
                     34,                 1.0664,                0.53911,                 1.2656,                0.92454,                0.91725,                0.94474,                0.62588,                 1.2272,                0.60144,                 1.4503,              0.0012269,              0.0012269,              0.0012269
                     35,                 1.0617,                0.53862,                 1.2492,                0.93782,                0.89379,                0.93573,                0.62224,                 1.2328,                0.62102,                 1.4497,              0.0012132,              0.0012132,              0.0012132
                     36,                 1.0475,                0.52246,                 1.2464,                0.94816,                 0.9016,                0.95434,                0.62292,                 1.2015,                0.56828,                 1.4101,              0.0011994,              0.0011994,              0.0011994
                     37,                 1.0593,                 0.5247,                 1.2619,                0.93542,                0.91336,                0.95482,                0.62189,                 1.2364,                0.57244,                 1.4458,              0.0011857,              0.0011857,              0.0011857
                     38,                 1.0332,                0.49183,                 1.2414,                0.94135,                0.91405,                0.94817,                0.61761,                 1.2677,                0.61746,                 1.4638,              0.0011719,              0.0011719,              0.0011719
                     39,                 1.0356,                0.50799,                 1.2439,                0.95077,                0.92061,                0.95937,                0.63581,                 1.1978,                0.58169,                 1.4159,              0.0011581,              0.0011581,              0.0011581
                     40,                 1.0371,                0.50828,                 1.2349,                0.93863,                0.94275,                 0.9591,                0.62223,                 1.2494,                0.56174,                 1.4518,              0.0011444,              0.0011444,              0.0011444
                     41,                 1.0314,                0.50636,                  1.239,                0.96459,                0.90406,                0.95892,                0.62896,                 1.2296,                0.54098,                 1.4381,              0.0011306,              0.0011306,              0.0011306
                     42,                 1.0139,                0.49413,                 1.2279,                0.94889,                0.93726,                0.94876,                0.62131,                 1.2343,                0.61728,                 1.4468,              0.0011169,              0.0011169,              0.0011169
                     43,                 1.0105,                 0.4931,                  1.235,                0.91104,                0.93473,                0.94788,                0.62451,                 1.2286,                0.56426,                 1.4419,              0.0011031,              0.0011031,              0.0011031
                     44,                 1.0135,                0.48916,                 1.2289,                0.94825,                0.93461,                0.96042,                0.63405,                 1.2104,                0.54524,                 1.4278,              0.0010894,              0.0010894,              0.0010894
                     45,                0.99048,                0.48803,                 1.2093,                0.95614,                0.90748,                0.95503,                0.62522,                 1.2304,                0.57312,                 1.4597,              0.0010756,              0.0010756,              0.0010756
                     46,                 1.0001,                0.48419,                 1.2233,                0.93061,                0.90975,                0.94201,                0.62506,                 1.2167,                0.57377,                 1.4508,              0.0010619,              0.0010619,              0.0010619
                     47,                 0.9874,                 0.4754,                 1.2096,                0.95257,                 0.9137,                0.94639,                0.61808,                 1.2172,                0.58188,                 1.4575,              0.0010481,              0.0010481,              0.0010481
                     48,                0.99088,                0.46855,                 1.2096,                0.94287,                0.90233,                0.94529,                0.62685,                 1.2038,                0.56334,                 1.4205,              0.0010344,              0.0010344,              0.0010344
                     49,                 0.9727,                0.47044,                 1.1974,                0.94549,                0.91095,                0.94807,                0.62202,                 1.1887,                0.55952,                 1.4389,              0.0010206,              0.0010206,              0.0010206
                     50,                0.98711,                0.47538,                 1.2187,                0.95169,                0.93899,                0.95944,                0.63382,                 1.2085,                0.52735,                 1.4352,              0.0010069,              0.0010069,              0.0010069
                     51,                0.96261,                0.46575,                 1.1938,                0.93997,                0.91292,                0.95538,                 0.6345,                  1.186,                0.54205,                 1.4401,             0.00099312,             0.00099312,             0.00099312
                     52,                0.97557,                0.47225,                 1.2071,                0.94249,                0.91932,                0.96349,                 0.6419,                 1.1869,                 0.5571,                 1.4433,             0.00097936,             0.00097936,             0.00097936
                     53,                0.93928,                0.44945,                 1.1906,                0.92805,                0.92291,                 0.9451,                0.62145,                 1.1985,                0.56554,                 1.4472,             0.00096561,             0.00096561,             0.00096561
                     54,                 0.9471,                0.45489,                 1.1808,                0.96654,                0.91264,                0.95014,                0.63329,                 1.2213,                0.53115,                 1.4516,             0.00095186,             0.00095186,             0.00095186
                     55,                0.95086,                0.45598,                 1.1842,                0.93601,                0.92825,                0.95483,                0.63136,                 1.2003,                0.52601,                 1.4225,              0.0009381,              0.0009381,              0.0009381
                     56,                0.92523,                0.45173,                 1.1664,                0.96772,                0.90864,                0.94846,                 0.6253,                 1.2006,                 0.5365,                 1.4317,             0.00092435,             0.00092435,             0.00092435
                     57,                0.96168,                0.46609,                 1.1961,                0.92334,                0.92375,                 0.9522,                0.62952,                 1.2411,                0.57435,                 1.4617,              0.0009106,              0.0009106,              0.0009106
                     58,                0.92985,                0.44725,                 1.1722,                0.90748,                0.93473,                 0.9456,                0.62328,                 1.2686,                0.57229,                  1.494,             0.00089685,             0.00089685,             0.00089685
                     59,                 0.9296,                 0.4447,                 1.1761,                0.93941,                0.91086,                0.95408,                0.63782,                 1.1959,                0.55163,                 1.4434,             0.00088309,             0.00088309,             0.00088309
                     60,                0.91664,                0.44877,                 1.1699,                0.95222,                0.90485,                0.94571,                 0.6315,                  1.193,                0.56887,                 1.4305,             0.00086934,             0.00086934,             0.00086934
                     61,                0.92254,                0.44273,                 1.1737,                0.96778,                0.91274,                0.95103,                0.63269,                 1.2045,                0.55781,                   1.45,             0.00085559,             0.00085559,             0.00085559
                     62,                0.89569,                0.43958,                 1.1551,                0.94386,                0.90471,                0.95734,                0.62827,                 1.1947,                0.54372,                 1.4644,             0.00084184,             0.00084184,             0.00084184
